onset	duration	trial_type	response_time	Offer	IsFairBlock
3.996410	3.521500	event_accept_ingroup	1.069440	9	1
3.996410	3.521500	event_ingroup	1.069440	9	1
3.996410	33.500000	block_ingroup_fair	n/a	n/a	n/a
8.285470	3.519780	event_accept_ingroup	1.033410	7	1
8.285470	3.519780	event_ingroup	1.033410	7	1
8.285470	0	event_RT	1.033410	7	1
12.564800	3.512410	event_accept_ingroup	1.391720	9	1
12.564800	3.512410	event_ingroup	1.391720	9	1
12.564800	0	event_RT	1.391720	9	1
16.844600	3.509680	event_accept_ingroup	1.265000	8	1
16.844600	3.509680	event_ingroup	1.265000	8	1
16.844600	0	event_RT	1.265000	8	1
21.116400	3.510970	event_accept_ingroup	1.029520	8	1
21.116400	3.510970	event_ingroup	1.029520	8	1
21.116400	0	event_RT	1.029520	8	1
25.390200	3.518510	event_accept_ingroup	1.025950	4	1
25.390200	3.518510	event_ingroup	1.025950	4	1
25.390200	0	event_RT	1.025950	4	1
29.677700	3.518690	event_accept_ingroup	1.025450	5	1
29.677700	3.518690	event_ingroup	1.025450	5	1
29.677700	0	event_RT	1.025450	5	1
33.964900	3.518830	event_accept_ingroup	1.025270	9	1
33.964900	3.518830	event_ingroup	1.025270	9	1
33.964900	0	event_RT	1.025270	9	1
47.500200	3.518200	event_accept_ingroup	1.017560	7	0
47.500200	3.518200	event_ingroup	1.017560	7	0
47.500200	33.500000	block_ingroup_unfair	n/a	n/a	n/a
51.788200	3.518450	event_accept_ingroup	1.033040	1	0
51.788200	3.518450	event_ingroup	1.033040	1	0
51.788200	0	event_RT	1.033040	1	0
56.074300	3.519500	event_accept_ingroup	1.016990	6	0
56.074300	3.519500	event_ingroup	1.016990	6	0
56.074300	0	event_RT	1.016990	6	0
60.364300	3.509020	event_accept_ingroup	1.030590	4	0
60.364300	3.509020	event_ingroup	1.030590	4	0
60.364300	0	event_RT	1.030590	4	0
64.641600	3.513990	event_accept_ingroup	1.023550	2	0
64.641600	3.513990	event_ingroup	1.023550	2	0
64.641600	0	event_RT	1.023550	2	0
68.924400	3.525610	missed_trial	n/a	2	0
73.218100	3.530580	missed_trial	n/a	1	0
77.518800	3.533950	missed_trial	n/a	1	0
89.074500	3.531000	missed_trial	n/a	1	0
89.074500	33.500000	block_outgroup_unfair	n/a	n/a	n/a
93.370100	3.518150	missed_trial	n/a	1	0
97.659000	3.518450	event_accept_outgroup	1.483530	4	0
97.659000	3.518450	event_outgroup	1.483530	4	0
97.659000	0	event_RT	1.483530	4	0
101.946000	3.520380	event_accept_outgroup	1.032480	2	0
101.946000	3.520380	event_outgroup	1.032480	2	0
101.946000	0	event_RT	1.032480	2	0
106.233000	3.505300	event_accept_outgroup	1.032930	7	0
106.233000	3.505300	event_outgroup	1.032930	7	0
106.233000	0	event_RT	1.032930	7	0
110.507000	3.519390	event_accept_outgroup	1.029490	3	0
110.507000	3.519390	event_outgroup	1.029490	3	0
110.507000	0	event_RT	1.029490	3	0
114.796000	3.517550	event_accept_outgroup	1.027030	6	0
114.796000	3.517550	event_outgroup	1.027030	6	0
114.796000	0	event_RT	1.027030	6	0
119.083000	3.519940	event_accept_outgroup	1.027130	2	0
119.083000	3.519940	event_outgroup	1.027130	2	0
119.083000	0	event_RT	1.027130	2	0
134.623000	3.502020	event_accept_ingroup	1.032960	7	1
134.623000	3.502020	event_ingroup	1.032960	7	1
134.623000	33.500000	block_ingroup_fair	n/a	n/a	n/a
138.895000	3.517560	event_accept_ingroup	1.031160	10	1
138.895000	3.517560	event_ingroup	1.031160	10	1
138.895000	0	event_RT	1.031160	10	1
143.182000	3.517300	event_accept_ingroup	1.031260	9	1
143.182000	3.517300	event_ingroup	1.031260	9	1
143.182000	0	event_RT	1.031260	9	1
147.469000	3.519590	event_accept_ingroup	1.030930	8	1
147.469000	3.519590	event_ingroup	1.030930	8	1
147.469000	0	event_RT	1.030930	8	1
151.757000	3.502970	event_accept_ingroup	1.029750	3	1
151.757000	3.502970	event_ingroup	1.029750	3	1
151.757000	0	event_RT	1.029750	3	1
156.029000	3.519590	event_accept_ingroup	1.027750	10	1
156.029000	3.519590	event_ingroup	1.027750	10	1
156.029000	0	event_RT	1.027750	10	1
160.316000	3.521350	event_accept_ingroup	1.027510	10	1
160.316000	3.521350	event_ingroup	1.027510	10	1
160.316000	0	event_RT	1.027510	10	1
164.607000	3.510720	event_accept_ingroup	1.023850	6	1
164.607000	3.510720	event_ingroup	1.023850	6	1
164.607000	0	event_RT	1.023850	6	1
176.125000	3.517080	event_accept_outgroup	1.031880	5	1
176.125000	3.517080	event_outgroup	1.031880	5	1
176.125000	33.500000	block_outgroup_fair	n/a	n/a	n/a
180.413000	3.518130	event_accept_outgroup	1.029990	7	1
180.413000	3.518130	event_outgroup	1.029990	7	1
180.413000	0	event_RT	1.029990	7	1
184.688000	3.530850	missed_trial	n/a	9	1
188.990000	3.519310	event_accept_outgroup	1.026920	7	1
188.990000	3.519310	event_outgroup	1.026920	7	1
188.990000	0	event_RT	1.026920	7	1
193.262000	3.510150	event_accept_outgroup	1.025820	8	1
193.262000	3.510150	event_outgroup	1.025820	8	1
193.262000	0	event_RT	1.025820	8	1
197.527000	3.516320	event_accept_outgroup	1.030150	9	1
197.527000	3.516320	event_outgroup	1.030150	9	1
197.527000	0	event_RT	1.030150	9	1
201.807000	3.519350	missed_trial	n/a	9	1
206.095000	3.519610	event_accept_outgroup	1.053370	1	1
206.095000	3.519610	event_outgroup	1.053370	1	1
206.095000	0	event_RT	1.053370	1	1
219.616000	3.533270	missed_trial	n/a	4	0
219.616000	33.500000	block_outgroup_unfair	n/a	n/a	n/a
223.920000	3.533210	missed_trial	n/a	8	0
228.223000	3.518260	event_accept_outgroup	1.026700	4	0
228.223000	3.518260	event_outgroup	1.026700	4	0
228.223000	0	event_RT	1.026700	4	0
232.511000	3.508360	event_accept_outgroup	1.025320	3	0
232.511000	3.508360	event_outgroup	1.025320	3	0
232.511000	0	event_RT	1.025320	3	0
236.773000	3.529570	event_accept_outgroup	1.032870	2	0
236.773000	3.529570	event_outgroup	1.032870	2	0
236.773000	0	event_RT	1.032870	2	0
241.062000	3.512400	event_accept_outgroup	1.031440	6	0
241.062000	3.512400	event_outgroup	1.031440	6	0
241.062000	0	event_RT	1.031440	6	0
245.328000	3.518120	event_accept_outgroup	1.018410	3	0
245.328000	3.518120	event_outgroup	1.018410	3	0
245.328000	0	event_RT	1.018410	3	0
249.613000	3.520500	event_accept_outgroup	1.019880	3	0
249.613000	3.520500	event_outgroup	1.019880	3	0
249.613000	0	event_RT	1.019880	3	0
265.145000	3.518060	event_accept_computer	1.018130	7	1
265.145000	3.518060	event_computer	1.018130	7	1
265.145000	33.500000	block_computer_fair	n/a	n/a	n/a
269.421000	3.505860	event_accept_computer	1.028630	7	1
269.421000	3.505860	event_computer	1.028630	7	1
269.421000	0	event_RT	1.028630	7	1
273.690000	3.517190	event_accept_computer	1.029690	5	1
273.690000	3.517190	event_computer	1.029690	5	1
273.690000	0	event_RT	1.029690	5	1
277.977000	3.518560	event_accept_computer	1.030010	10	1
277.977000	3.518560	event_computer	1.030010	10	1
277.977000	0	event_RT	1.030010	10	1
282.265000	3.534610	missed_trial	n/a	1	1
286.568000	3.517450	event_accept_computer	1.029070	8	1
286.568000	3.517450	event_computer	1.029070	8	1
286.568000	0	event_RT	1.029070	8	1
290.854000	3.504200	event_accept_computer	1.030010	9	1
290.854000	3.504200	event_computer	1.030010	9	1
290.854000	0	event_RT	1.030010	9	1
295.126000	3.518820	event_accept_computer	1.028260	10	1
295.126000	3.518820	event_computer	1.028260	10	1
295.126000	0	event_RT	1.028260	10	1
306.660000	3.518730	event_accept_outgroup	1.020050	4	1
306.660000	3.518730	event_outgroup	1.020050	4	1
306.660000	33.500000	block_outgroup_fair	n/a	n/a	n/a
310.949000	3.520890	missed_trial	n/a	7	1
315.235000	3.518390	event_accept_outgroup	2.153520	9	1
315.235000	3.518390	event_outgroup	2.153520	9	1
315.235000	0	event_RT	2.153520	9	1
319.512000	3.527970	event_accept_outgroup	1.028610	7	1
319.512000	3.527970	event_outgroup	1.028610	7	1
319.512000	0	event_RT	1.028610	7	1
323.810000	3.518640	event_accept_outgroup	1.018010	6	1
323.810000	3.518640	event_outgroup	1.018010	6	1
323.810000	0	event_RT	1.018010	6	1
328.096000	3.518890	event_accept_outgroup	1.018470	10	1
