onset	duration	trial_type	response_time	Offer	IsFairBlock
4.021020	3.574120	missed_trial	n/a	7	1
4.021020	33.500000	block_ingroup_fair	n/a	n/a	n/a
8.364740	3.512610	event_accept_ingroup	2.039160	4	1
8.364740	3.512610	event_ingroup	2.039160	4	1
8.364740	0	event_RT	2.039160	4	1
12.646200	3.512850	event_accept_ingroup	2.853830	8	1
12.646200	3.512850	event_ingroup	2.853830	8	1
12.646200	0	event_RT	2.853830	8	1
16.929700	3.526690	event_accept_ingroup	1.501170	9	1
16.929700	3.526690	event_ingroup	1.501170	9	1
16.929700	0	event_RT	1.501170	9	1
21.225300	3.528400	event_accept_ingroup	1.451990	10	1
21.225300	3.528400	event_ingroup	1.451990	10	1
21.225300	0	event_RT	1.451990	10	1
25.522600	3.512830	event_reject_ingroup	2.034070	9	1
25.522600	3.512830	event_ingroup	2.034070	9	1
25.522600	0	event_RT	2.034070	9	1
29.804200	3.528500	event_reject_ingroup	1.798960	6	1
29.804200	3.528500	event_ingroup	1.798960	6	1
29.804200	0	event_RT	1.798960	6	1
34.101400	3.513060	event_accept_ingroup	1.481770	10	1
34.101400	3.513060	event_ingroup	1.481770	10	1
34.101400	0	event_RT	1.481770	10	1
45.634100	3.528440	event_accept_ingroup	2.405700	10	0
45.634100	3.528440	event_ingroup	2.405700	10	0
45.634100	33.500000	block_ingroup_unfair	n/a	n/a	n/a
49.931400	3.528500	event_reject_ingroup	1.422650	2	0
49.931400	3.528500	event_ingroup	1.422650	2	0
49.931400	0	event_RT	1.422650	2	0
54.228800	3.512810	event_reject_ingroup	1.737840	3	0
54.228800	3.512810	event_ingroup	1.737840	3	0
54.228800	0	event_RT	1.737840	3	0
58.510600	3.512680	event_reject_ingroup	1.502620	1	0
58.510600	3.512680	event_ingroup	1.502620	1	0
58.510600	0	event_RT	1.502620	1	0
62.792200	3.512840	event_reject_ingroup	1.600420	2	0
62.792200	3.512840	event_ingroup	1.600420	2	0
62.792200	0	event_RT	1.600420	2	0
67.073900	3.512830	event_reject_ingroup	1.398960	1	0
67.073900	3.512830	event_ingroup	1.398960	1	0
67.073900	0	event_RT	1.398960	1	0
71.355900	3.512580	event_accept_ingroup	1.680030	6	0
71.355900	3.512580	event_ingroup	1.680030	6	0
71.355900	0	event_RT	1.680030	6	0
75.637200	3.528540	event_accept_ingroup	1.828450	3	0
75.637200	3.528540	event_ingroup	1.828450	3	0
75.637200	0	event_RT	1.828450	3	0
89.188400	3.525720	event_accept_outgroup	2.515500	9	1
89.188400	3.525720	event_outgroup	2.515500	9	1
89.188400	33.500000	block_outgroup_fair	n/a	n/a	n/a
