onset	duration	trial_type	response_time	Offer	IsFairBlock
4.016110	3.512850	event_accept_outgroup	1.911530	10	0
4.016110	3.512850	event_outgroup	1.911530	10	0
4.016110	33.500000	block_outgroup_unfair	n/a	n/a	n/a
8.297140	3.516630	event_reject_outgroup	1.228020	2	0
8.297140	3.516630	event_outgroup	1.228020	2	0
8.297140	0	event_RT	1.228020	2	0
12.571300	3.512560	event_reject_outgroup	1.816190	2	0
12.571300	3.512560	event_outgroup	1.816190	2	0
12.571300	0	event_RT	1.816190	2	0
16.847700	3.516460	event_reject_outgroup	1.436840	3	0
16.847700	3.516460	event_outgroup	1.436840	3	0
16.847700	0	event_RT	1.436840	3	0
21.135300	3.518640	event_reject_outgroup	1.595570	2	0
21.135300	3.518640	event_outgroup	1.595570	2	0
21.135300	0	event_RT	1.595570	2	0
25.422300	3.511840	event_accept_outgroup	1.555110	6	0
25.422300	3.511840	event_outgroup	1.555110	6	0
25.422300	0	event_RT	1.555110	6	0
29.702700	3.526120	event_reject_outgroup	1.454450	3	0
29.702700	3.526120	event_outgroup	1.454450	3	0
29.702700	0	event_RT	1.454450	3	0
33.997000	3.526760	event_accept_outgroup	2.406190	4	0
33.997000	3.526760	event_outgroup	2.406190	4	0
33.997000	0	event_RT	2.406190	4	0
45.534000	3.518810	event_accept_ingroup	1.893180	8	0
45.534000	3.518810	event_ingroup	1.893180	8	0
45.534000	33.500000	block_ingroup_unfair	n/a	n/a	n/a
49.823100	3.512640	event_reject_ingroup	2.383430	1	0
49.823100	3.512640	event_ingroup	2.383430	1	0
49.823100	0	event_RT	2.383430	1	0
54.104300	3.520790	event_accept_ingroup	1.716090	4	0
54.104300	3.520790	event_ingroup	1.716090	4	0
54.104300	0	event_RT	1.716090	4	0
58.382800	3.516480	event_reject_ingroup	1.584020	2	0
58.382800	3.516480	event_ingroup	1.584020	2	0
58.382800	0	event_RT	1.584020	2	0
62.667800	3.523810	event_reject_ingroup	1.462310	2	0
62.667800	3.523810	event_ingroup	1.462310	2	0
62.667800	0	event_RT	1.462310	2	0
