onset	duration	trial_type	response_time	Offer	IsFairBlock
4.010600	3.527480	event_accept_outgroup	1.748140	9	1
4.010600	3.527480	event_outgroup	1.748140	9	1
4.010600	33.500000	block_outgroup_fair	n/a	n/a	n/a
8.306750	3.512140	event_accept_outgroup	1.472200	10	1
8.306750	3.512140	event_outgroup	1.472200	10	1
8.306750	0	event_RT	1.472200	10	1
12.586700	3.513110	event_accept_outgroup	1.495440	8	1
12.586700	3.513110	event_outgroup	1.495440	8	1
12.586700	0	event_RT	1.495440	8	1
16.867500	3.513230	event_accept_outgroup	1.418160	8	1
16.867500	3.513230	event_outgroup	1.418160	8	1
16.867500	0	event_RT	1.418160	8	1
21.148700	3.513050	event_accept_outgroup	1.840860	5	1
21.148700	3.513050	event_outgroup	1.840860	5	1
21.148700	0	event_RT	1.840860	5	1
25.429500	3.513090	event_accept_outgroup	1.413280	9	1
25.429500	3.513090	event_outgroup	1.413280	9	1
25.429500	0	event_RT	1.413280	9	1
29.710400	3.528830	event_accept_outgroup	1.469290	7	1
29.710400	3.528830	event_outgroup	1.469290	7	1
29.710400	0	event_RT	1.469290	7	1
34.007100	3.513070	event_reject_outgroup	1.426110	4	1
34.007100	3.513070	event_outgroup	1.426110	4	1
34.007100	0	event_RT	1.426110	4	1
49.538900	3.511410	event_reject_ingroup	1.523760	1	1
49.538900	3.511410	event_ingroup	1.523760	1	1
49.538900	33.500000	block_ingroup_fair	n/a	n/a	n/a
53.819600	3.511580	event_accept_ingroup	1.429660	10	1
53.819600	3.511580	event_ingroup	1.429660	10	1
53.819600	0	event_RT	1.429660	10	1
58.099200	3.512930	event_accept_ingroup	1.553790	7	1
58.099200	3.512930	event_ingroup	1.553790	7	1
58.099200	0	event_RT	1.553790	7	1
62.380400	3.512710	event_accept_ingroup	1.692980	9	1
62.380400	3.512710	event_ingroup	1.692980	9	1
62.380400	0	event_RT	1.692980	9	1
66.661800	3.512200	event_accept_ingroup	1.464810	7	1
66.661800	3.512200	event_ingroup	1.464810	7	1
66.661800	0	event_RT	1.464810	7	1
70.942100	3.513370	event_accept_ingroup	1.488000	10	1
70.942100	3.513370	event_ingroup	1.488000	10	1
70.942100	0	event_RT	1.488000	10	1
75.223100	3.512820	event_accept_ingroup	1.760710	6	1
75.223100	3.512820	event_ingroup	1.760710	6	1
75.223100	0	event_RT	1.760710	6	1
79.504000	3.528460	event_accept_ingroup	1.282930	8	1
79.504000	3.528460	event_ingroup	1.282930	8	1
79.504000	0	event_RT	1.282930	8	1
93.050900	3.511850	event_accept_outgroup	1.630610	10	1
93.050900	3.511850	event_outgroup	1.630610	10	1
93.050900	33.500000	block_outgroup_fair	n/a	n/a	n/a
97.331900	3.510680	event_accept_outgroup	1.586540	9	1
97.331900	3.510680	event_outgroup	1.586540	9	1
97.331900	0	event_RT	1.586540	9	1
101.610000	3.513090	event_accept_outgroup	1.378380	10	1
101.610000	3.513090	event_outgroup	1.378380	10	1
101.610000	0	event_RT	1.378380	10	1
105.891000	3.513130	event_accept_outgroup	1.417530	9	1
105.891000	3.513130	event_outgroup	1.417530	9	1
105.891000	0	event_RT	1.417530	9	1
110.172000	3.528820	event_accept_outgroup	1.156760	6	1
110.172000	3.528820	event_outgroup	1.156760	6	1
110.172000	0	event_RT	1.156760	6	1
114.469000	3.513060	event_reject_outgroup	1.396890	3	1
114.469000	3.513060	event_outgroup	1.396890	3	1
114.469000	0	event_RT	1.396890	3	1
118.750000	3.513150	event_accept_outgroup	1.619670	8	1
118.750000	3.513150	event_outgroup	1.619670	8	1
118.750000	0	event_RT	1.619670	8	1
123.031000	3.528700	event_accept_outgroup	1.608840	8	1
123.031000	3.528700	event_outgroup	1.608840	8	1
123.031000	0	event_RT	1.608840	8	1
138.577000	3.513020	event_reject_outgroup	1.559120	4	0
138.577000	3.513020	event_outgroup	1.559120	4	0
138.577000	33.500000	block_outgroup_unfair	n/a	n/a	n/a
142.857000	3.513120	event_reject_outgroup	1.348330	5	0
142.857000	3.513120	event_outgroup	1.348330	5	0
142.857000	0	event_RT	1.348330	5	0
147.138000	3.513200	event_reject_outgroup	1.354210	3	0
147.138000	3.513200	event_outgroup	1.354210	3	0
147.138000	0	event_RT	1.354210	3	0
151.419000	3.528860	event_reject_outgroup	1.360450	1	0
151.419000	3.528860	event_outgroup	1.360450	1	0
151.419000	0	event_RT	1.360450	1	0
155.716000	3.513170	event_accept_outgroup	1.450560	8	0
155.716000	3.513170	event_outgroup	1.450560	8	0
155.716000	0	event_RT	1.450560	8	0
159.997000	3.513010	event_reject_outgroup	1.556620	1	0
159.997000	3.513010	event_outgroup	1.556620	1	0
159.997000	0	event_RT	1.556620	1	0
164.278000	3.513180	event_reject_outgroup	1.679440	3	0
164.278000	3.513180	event_outgroup	1.679440	3	0
164.278000	0	event_RT	1.679440	3	0
168.559000	3.528640	event_reject_outgroup	1.735340	3	0
168.559000	3.528640	event_outgroup	1.735340	3	0
168.559000	0	event_RT	1.735340	3	0
182.106000	3.526990	event_reject_ingroup	2.032330	4	0
182.106000	3.526990	event_ingroup	2.032330	4	0
182.106000	33.500000	block_ingroup_unfair	n/a	n/a	n/a
186.403000	3.527150	event_reject_ingroup	1.405600	2	0
186.403000	3.527150	event_ingroup	1.405600	2	0
186.403000	0	event_RT	1.405600	2	0
190.698000	3.512940	event_accept_ingroup	1.480690	7	0
190.698000	3.512940	event_ingroup	1.480690	7	0
