onset	duration	trial_type	response_time	Offer	IsFairBlock
4.007100	3.524470	event_accept_ingroup	1.451320	5	0
4.007100	3.524470	event_ingroup	1.451320	5	0
4.007100	33.500000	block_ingroup_unfair	n/a	n/a	n/a
8.291450	3.525730	event_accept_ingroup	1.420200	4	0
8.291450	3.525730	event_ingroup	1.420200	4	0
8.291450	0	event_RT	1.420200	4	0
12.578100	3.515910	event_accept_ingroup	1.320380	3	0
12.578100	3.515910	event_ingroup	1.320380	3	0
12.578100	0	event_RT	1.320380	3	0
16.852400	3.526720	event_accept_ingroup	1.283110	3	0
16.852400	3.526720	event_ingroup	1.283110	3	0
16.852400	0	event_RT	1.283110	3	0
21.141400	3.527420	event_accept_ingroup	1.347620	10	0
21.141400	3.527420	event_ingroup	1.347620	10	0
21.141400	0	event_RT	1.347620	10	0
25.428500	3.523100	event_accept_ingroup	1.297360	4	0
25.428500	3.523100	event_ingroup	1.297360	4	0
25.428500	0	event_RT	1.297360	4	0
29.711400	3.526260	event_accept_ingroup	1.418130	4	0
29.711400	3.526260	event_ingroup	1.418130	4	0
29.711400	0	event_RT	1.418130	4	0
33.998900	3.522130	event_accept_ingroup	1.284100	3	0
33.998900	3.522130	event_ingroup	1.284100	3	0
33.998900	0	event_RT	1.284100	3	0
49.542900	3.527950	event_accept_ingroup	1.018780	8	1
49.542900	3.527950	event_ingroup	1.018780	8	1
49.542900	33.500000	block_ingroup_fair	n/a	n/a	n/a
53.831000	3.525960	event_accept_ingroup	1.017730	4	1
53.831000	3.525960	event_ingroup	1.017730	4	1
53.831000	0	event_RT	1.017730	4	1
58.116500	3.524610	event_accept_ingroup	1.018900	10	1
58.116500	3.524610	event_ingroup	1.018900	10	1
58.116500	0	event_RT	1.018900	10	1
62.401100	3.526960	event_accept_ingroup	1.021290	9	1
62.401100	3.526960	event_ingroup	1.021290	9	1
62.401100	0	event_RT	1.021290	9	1
66.688800	3.529550	event_accept_ingroup	1.020580	7	1
66.688800	3.529550	event_ingroup	1.020580	7	1
66.688800	0	event_RT	1.020580	7	1
70.978100	3.526940	event_accept_ingroup	1.017830	9	1
70.978100	3.526940	event_ingroup	1.017830	9	1
70.978100	0	event_RT	1.017830	9	1
75.268500	3.526040	event_accept_ingroup	1.030960	10	1
75.268500	3.526040	event_ingroup	1.030960	10	1
75.268500	0	event_RT	1.030960	10	1
79.554100	3.526180	event_accept_ingroup	1.032250	5	1
79.554100	3.526180	event_ingroup	1.032250	5	1
79.554100	0	event_RT	1.032250	5	1
95.095500	3.522510	event_accept_computer	1.237620	2	0
95.095500	3.522510	event_computer	1.237620	2	0
95.095500	33.500000	block_computer_unfair	n/a	n/a	n/a
99.378400	3.516920	event_accept_computer	1.374240	6	0
99.378400	3.516920	event_computer	1.374240	6	0
99.378400	0	event_RT	1.374240	6	0
103.667000	3.516570	event_accept_computer	1.456940	4	0
103.667000	3.516570	event_computer	1.456940	4	0
103.667000	0	event_RT	1.456940	4	0
107.953000	3.525330	event_accept_computer	1.474190	2	0
107.953000	3.525330	event_computer	1.474190	2	0
107.953000	0	event_RT	1.474190	2	0
112.238000	3.527690	event_accept_computer	1.375500	4	0
112.238000	3.527690	event_computer	1.375500	4	0
112.238000	0	event_RT	1.375500	4	0
116.527000	3.523900	event_accept_computer	1.991090	10	0
116.527000	3.523900	event_computer	1.991090	10	0
116.527000	0	event_RT	1.991090	10	0
120.811000	3.524270	event_accept_computer	1.943500	4	0
120.811000	3.524270	event_computer	1.943500	4	0
120.811000	0	event_RT	1.943500	4	0
125.098000	3.527350	event_accept_computer	1.827250	1	0
125.098000	3.527350	event_computer	1.827250	1	0
125.098000	0	event_RT	1.827250	1	0
138.646000	3.524140	event_accept_computer	1.439750	6	1
138.646000	3.524140	event_computer	1.439750	6	1
138.646000	33.500000	block_computer_fair	n/a	n/a	n/a
142.931000	3.522850	event_accept_computer	1.491770	4	1
142.931000	3.522850	event_computer	1.491770	4	1
142.931000	0	event_RT	1.491770	4	1
147.214000	3.515320	event_accept_computer	1.396180	10	1
147.214000	3.515320	event_computer	1.396180	10	1
147.214000	0	event_RT	1.396180	10	1
151.501000	3.527680	event_accept_computer	1.461870	8	1
151.501000	3.527680	event_computer	1.461870	8	1
151.501000	0	event_RT	1.461870	8	1
155.789000	3.524410	event_accept_computer	1.494390	9	1
155.789000	3.524410	event_computer	1.494390	9	1
155.789000	0	event_RT	1.494390	9	1
160.073000	3.527960	event_accept_computer	1.563690	8	1
160.073000	3.527960	event_computer	1.563690	8	1
160.073000	0	event_RT	1.563690	8	1
164.363000	3.529480	event_accept_computer	1.376900	8	1
164.363000	3.529480	event_computer	1.376900	8	1
164.363000	0	event_RT	1.376900	8	1
168.653000	3.525800	event_accept_computer	1.357090	8	1
168.653000	3.525800	event_computer	1.357090	8	1
168.653000	0	event_RT	1.357090	8	1
180.188000	3.523470	event_accept_outgroup	1.565220	5	0
